GeneID	Base Mean	log2(FC)	StdeErr	Wald-Stats	P-Value	P-adj
gene-J2S48_RS26380	344.470510432452	-3.02871302792243	0.596623299874965	-5.07642431758391	3.84603889210386e-07	3.12591049629695e-06
rna-J2S48_RS16870	59.0507093748722	-3.99900511287804	0.788585088536016	-5.07111429193021	3.95493154433594e-07	3.20697342588167e-06
MSTRG.2911.1	371.359043518019	1.86139943384421	0.367671311298534	5.0626724920967	4.134197192527e-07	3.3445941721529e-06
gene-J2S48_RS14765	53.0248809561522	-3.93286276111527	0.777196068521629	-5.06032251114742	4.18547913568875e-07	3.37041644242682e-06
MSTRG.2126.1	372.642088532313	-1.84766672137362	0.365159451295251	-5.05989017898837	4.19498021381129e-07	3.37041644242682e-06
MSTRG.3155.1	1028.39651239886	1.58426428603392	0.313077053020955	5.06030151602291	4.18594005163902e-07	3.37041644242682e-06
MSTRG.492.1	212.990268626395	-2.18319153524572	0.431921747583444	-5.05459969881221	4.31294413027084e-07	3.457263910375e-06
gene-J2S48_RS04310	188.798531297898	1.96342903304396	0.389230813202113	5.04438232135652	4.54988747624467e-07	3.6388711939007e-06
gene-J2S48_RS08880	1686.01352164431	1.81252989401924	0.359832958483318	5.03714251651372	4.72532955884781e-07	3.77057618329018e-06
gene-J2S48_RS15475	4114.94228143691	1.71910265183875	0.341346599870078	5.03623780782661	4.74770667764942e-07	3.77982192995589e-06
gene-J2S48_RS14055	270.190505603549	-2.34841603480892	0.466701605629297	-5.03194333699009	4.85532785041319e-07	3.85673774603116e-06
MSTRG.2499.1	642.75415328362	-2.06537190093039	0.410556424416491	-5.03066516098445	4.88781123764492e-07	3.87375628178058e-06
gene-J2S48_RS20480	1297.23692233734	-1.6712731779933	0.332429813201589	-5.02744673198075	4.97053494925924e-07	3.93042526574608e-06
gene-J2S48_RS00975	570.341396519945	1.96885938340418	0.391661782785372	5.02693770477754	4.9837415919963e-07	3.93199252179348e-06
gene-J2S48_RS07115	236.966372550853	-1.78492943878777	0.355391451976149	-5.02243210652	5.10212354515882e-07	4.01546389189827e-06
gene-J2S48_RS25515	571.528339915627	-2.97081490667951	0.591555019941802	-5.02204326990882	5.1124661598248e-07	4.01546389189827e-06
gene-J2S48_RS19870	3437.10279840448	-2.14010853504173	0.426631883983451	-5.01628831642772	5.26792577863491e-07	4.12830962025908e-06
gene-J2S48_RS17085	656.477519788661	1.79102316778156	0.357226028769604	5.0136972771844	5.33939691816364e-07	4.17497933132304e-06
gene-J2S48_RS19770	516.118648890067	-1.60878204245951	0.321114905352875	-5.00998868517676	5.44332356980959e-07	4.24676224165768e-06
gene-J2S48_RS12175	490.928275914334	1.71850402640337	0.343146488447364	5.00807697079777	5.4976550307813e-07	4.27961901618375e-06
MSTRG.1361.1	1439.64260848702	-2.7322341170905	0.546965940999414	-4.99525457124108	5.87582062664204e-07	4.56385801665788e-06
gene-J2S48_RS15305	449.440361771051	2.00855671971743	0.402726665485537	4.98739440880048	6.11990477764867e-07	4.74292620267772e-06
rna-J2S48_RS19440	447.008915653326	-2.97278558275994	0.599048479902048	-4.96251252193483	6.95870786499418e-07	5.38109352120852e-06
gene-J2S48_RS20375	2946.4973809047	2.06284532440439	0.415721969947251	4.9620791623453	6.97425578761037e-07	5.38123745022007e-06
gene-J2S48_RS13895	337.531257321558	-1.97110476206331	0.397705679981434	-4.95618961779809	7.18890607109985e-07	5.53466768506874e-06
gene-J2S48_RS12135	672.29486998138	-1.46975480702778	0.297299030583237	-4.94369189211427	7.66568226598184e-07	5.88879056529263e-06
gene-J2S48_RS05005	7064.37791558119	1.66001935366749	0.336059260555921	4.93966257891964	7.82578715064779e-07	5.99862853144841e-06
gene-J2S48_RS21475	207.909348202011	-2.17223330595081	0.440836196650996	-4.92752936907887	8.32759092343444e-07	6.36933428052201e-06
gene-J2S48_RS13710	228.673638734947	-1.83110630878604	0.37235519049843	-4.91763336596688	8.75967767503034e-07	6.68521806005039e-06
gene-J2S48_RS18935	1875.35628152242	-1.64005668702753	0.333698239243171	-4.9147897536025	8.88777870604983e-07	6.76823669723752e-06
gene-J2S48_RS09065	270.995219248008	-2.07860764857877	0.423401441498962	-4.9093069717002	9.1398813513263e-07	6.94512025459784e-06
gene-J2S48_RS22285	620.854181046794	-2.17892088787425	0.443933464032063	-4.90821500159961	9.19090665857938e-07	6.96877619588822e-06
gene-J2S48_RS15275	46.9160996136859	3.90324598507695	0.796130322841474	4.90277266559306	9.44933185273759e-07	7.14924610802155e-06
gene-J2S48_RS12120	693.79955685842	2.37848922654916	0.485926858753841	4.89474739603568	9.84320793641433e-07	7.41521664543213e-06
gene-J2S48_RS13065	733.759567561687	1.59306557322291	0.325444180732544	4.89505011162613	9.82806815332062e-07	7.41521664543213e-06
gene-J2S48_RS20285	61.1047319977134	2.48469291343206	0.509633263207534	4.87545278695876	1.08559159391038e-06	8.16057371988855e-06
gene-J2S48_RS00740	279.198382057109	1.99488260536619	0.409727866581151	4.86879894699836	1.12278569007816e-06	8.4220948015927e-06
gene-J2S48_RS01625	1354.11360662058	-1.62088716869587	0.332965684298933	-4.86803068643149	1.12715830856702e-06	8.43682810878265e-06
gene-J2S48_RS05060	1074.66941555946	1.44853768470236	0.297631413384563	4.86688440655537	1.1337129326845e-06	8.46779616885673e-06
gene-J2S48_RS19940	96.0210201978219	3.03076497424542	0.62294913561483	4.86518850572631	1.1434776985681e-06	8.52255825124266e-06
gene-J2S48_RS19320	141.62190286109	-2.18042191628917	0.448425291771466	-4.86239727397087	1.15972568371752e-06	8.62530588123668e-06
gene-J2S48_RS14910	662.017719779953	1.53335894458173	0.315695470783461	4.85708249401359	1.19127972161796e-06	8.84121369666888e-06
gene-J2S48_RS15510	382.84082047845	1.45477661163162	0.300041269298085	4.84858837930835	1.24343131023922e-06	9.20875238851584e-06
gene-J2S48_RS13050	935.160802105116	2.00894068995354	0.414770138484881	4.84350367481137	1.27569360790003e-06	9.42775254952278e-06
gene-J2S48_RS03905	3138.89576238696	1.38389620243429	0.285885254724026	4.84074005065495	1.29356492802365e-06	9.51965954383791e-06
gene-J2S48_RS19775	3981.39121519008	-1.27603227590581	0.263597781102957	-4.84083086954139	1.29297382841714e-06	9.51965954383791e-06
gene-J2S48_RS07450	276.58385764094	1.87917716683142	0.388250071502607	4.84012059433402	1.29760363111362e-06	9.52936167671069e-06
gene-J2S48_RS16885	324.38232009728	-1.8869738254257	0.390043270726587	-4.83785766105021	1.31246073287638e-06	9.61830532900828e-06
gene-J2S48_RS03900	644.18316339915	2.13584382665964	0.441580271969519	4.83681894830454	1.31933497552529e-06	9.64849774376846e-06
MSTRG.559.1	68.9450504894968	2.53078316129779	0.524107397436894	4.82874917178117	1.37393338590776e-06	1.0026851355906e-05
gene-J2S48_RS21530	1632.0851087561	-2.36674547257411	0.490354461032288	-4.82660128673381	1.38882775298075e-06	1.01144773777372e-05
gene-J2S48_RS21885	2235.87912521384	1.63851005647496	0.33954634809265	4.82558586089659	1.39592309588568e-06	1.01450593462397e-05
MSTRG.152.1	100.578284284898	-2.31694578943346	0.480813216411155	-4.81880636877542	1.44419628557512e-06	1.04525198106811e-05
gene-J2S48_RS01805	115.231482470456	-2.29704214752244	0.476642533066012	-4.81921353670784	1.44125230875203e-06	1.04525198106811e-05
gene-J2S48_RS05010	19795.4316034928	-1.85284282674347	0.384675539830638	-4.81663801020264	1.45997198069657e-06	1.05449110275878e-05
gene-J2S48_RS21950	1307.87536294472	-1.39709164728786	0.29014396437342	-4.81516701650145	1.47076825234489e-06	1.0601031250955e-05
gene-J2S48_RS13400	2127.89227690193	-1.37363747295629	0.285808622414013	-4.80614427008601	1.5386888418879e-06	1.10678172754278e-05
MSTRG.50.1	41427.1451166389	4.31989145701991	0.899499015742719	4.80255273370473	1.56655544308164e-06	1.12451715514651e-05
gene-J2S48_RS15300	141.625485761301	3.37218403799148	0.702728539034688	4.79870085057841	1.59698109872182e-06	1.14401324924796e-05
gene-J2S48_RS21785	629.506072843821	-1.52267817341307	0.317938588682072	-4.78922102449065	1.67429986902467e-06	1.19695355942722e-05
gene-J2S48_RS17565	2807.33624645504	1.33353574396058	0.279193957881497	4.77637751933941	1.78481178599398e-06	1.2715542266861e-05
gene-J2S48_RS17770	2348.36238482676	1.69542095919359	0.354968787218318	4.77625363198721	1.78591116051831e-06	1.2715542266861e-05
MSTRG.168.1	91.1322413642095	-2.61797368369717	0.548545081153194	-4.77257708371655	1.81883459893058e-06	1.29019653750168e-05
gene-J2S48_RS25640	444.956360978343	-2.22035668401484	0.465238986138208	-4.77250778668673	1.81946071802978e-06	1.29019653750168e-05
MSTRG.3171.1	1933.16542005899	-1.67860702987481	0.351842716966758	-4.77090173798709	1.83402999965793e-06	1.29790042198015e-05
gene-J2S48_RS00675	402.768359013896	3.18341588254203	0.66777352179021	4.76720890940348	1.86795594049918e-06	1.31924388297754e-05
gene-J2S48_RS24840	231.510969450784	-1.59352924556187	0.334330006225251	-4.76633630212733	1.8760601991032e-06	1.32230158500171e-05
gene-J2S48_RS16925	632.161040608226	1.91065976927763	0.401284934478157	4.76135435226918	1.92298056593182e-06	1.34994006462107e-05
gene-J2S48_RS24725	3664.82933936699	-1.36692894795983	0.287073269757742	-4.76160301902495	1.92061211052618e-06	1.34994006462107e-05
gene-J2S48_RS11525	1049.83458088179	-1.6800655689069	0.35314299674663	-4.75746534515674	1.96038898096453e-06	1.37209139736975e-05
gene-J2S48_RS26130	303.104709463185	-1.70411701487489	0.358213861065306	-4.75726151357446	1.96236879840778e-06	1.37209139736975e-05
gene-J2S48_RS17110	537.78956235986	1.73332822891487	0.364457540770525	4.75591265103289	1.97551880400725e-06	1.37853433674051e-05
gene-J2S48_RS22825	54.9231887121247	-2.75297862126356	0.579007297352923	-4.75465272000801	1.98787825338784e-06	1.3844010977371e-05
gene-J2S48_RS13600	338.749593790671	-1.56890750387151	0.330501078308028	-4.74705714094307	2.06397657034275e-06	1.43454562022036e-05
gene-J2S48_RS06890	197.220029526324	1.80482606038775	0.380408278827131	4.74444474750225	2.09079035588779e-06	1.45030467656929e-05
gene-J2S48_RS04840	4327.77222212079	-2.01060922261916	0.423881590458451	-4.74332754211991	2.10235928314156e-06	1.45544754324998e-05
gene-J2S48_RS19295	376.800865011854	-2.12682156117924	0.449119628614076	-4.73553464528445	2.18478377490615e-06	1.5095261466462e-05
gene-J2S48_RS04585	979.16607665882	-1.45505020413496	0.307483907022673	-4.73211823741941	2.22188918916737e-06	1.53214130504986e-05
gene-J2S48_RS21660	96.47363011187	2.32947413413972	0.492597120190993	4.72896417509814	2.25668194718962e-06	1.55307600412677e-05
gene-J2S48_RS07595	42.8124816168889	3.29975251124467	0.69785522204793	4.72841988852817	2.26273871271146e-06	1.5541909236526e-05
gene-J2S48_RS12455	144.212902527459	2.17710970430818	0.461963828340578	4.71272764391226	2.44422785801532e-06	1.67556363730483e-05
gene-J2S48_RS20700	1284.21987238165	1.5994928667631	0.340493722230871	4.69756933045177	2.63275831213504e-06	1.80127975925958e-05
gene-J2S48_RS06110	199.922298498535	-2.3430143645951	0.499295912421506	-4.69263678372982	2.69706088290715e-06	1.84167724616447e-05
gene-J2S48_RS06685	4993.94985398908	1.47110139450737	0.314157180294316	4.68269225337833	2.83131427450847e-06	1.9295902536193e-05
MSTRG.3174.1	284.622128335435	-1.53636914916249	0.328904974600824	-4.67116422008244	2.99497371184073e-06	2.03716367234526e-05
MSTRG.1169.1	1016.64517437805	-1.45732713780895	0.312552571356235	-4.66266244902507	3.12144511902313e-06	2.11907407983295e-05
gene-J2S48_RS19075	79.5523344636938	-2.75672356335023	0.591502133603101	-4.66054711680888	3.15369954813777e-06	2.13682969383493e-05
gene-J2S48_RS05190	1827.96166276835	1.79178107596915	0.384715765322278	4.6574152594661	3.20204156228908e-06	2.16539606036653e-05
gene-J2S48_RS00945	494.316159803258	1.50107696001697	0.322828455578408	4.64976656821502	3.32310926477449e-06	2.24293868102216e-05
gene-J2S48_RS16770	5561.9359118053	-1.86815385453052	0.402013024745733	-4.6469983297484	3.36799891560828e-06	2.2688654233415e-05
gene-J2S48_RS17010	100.574144570356	2.31138410571771	0.497595363860145	4.64510779961237	3.39898923927746e-06	2.28534727546813e-05
